Lynx;Plot;Habitat;Tree;Shrub;Rock
1;1OL;Open;20;10;10
1;2OL;Open;0;5;20
1;1CL;Forest;70;20;30
1;2CL;Forest;50;60;5
1;3OL;Open;15;0;15
1;4OL;Open;30;5;5
1;5OL;Open;20;0;10
1;6OL;Open;0;0;30
1;3CL;Forest;80;60;20
1;4CL;Forest;70;30;10
1;5CL;Forest;70;50;20
1;6CL;Forest;90;40;30
0;1CSL;Forest;30;50;5
0;1OSL;Open;10;20;10
0;2CSL;Forest;50;60;20
0;2OSL;Open;15;5;15
0;3CSL;Forest;10;40;15
0;4CSL;Forest;70;50;30
0;5CSL;Forest;10;70;5
0;3OSL;Open;5;10;5
0;4OSL;Open;5;10;10
0;5OSL;Open;10;0;5
0;6OSL;Open;5;5;5
0;6CSL;Forest;90;40;15
